lens_make,lens_model,lens_type,lens_crop_factor,lens_dist_model,lens_dist_focal,lens_dist_a,lens_dist_b,lens_dist_c,lens_dist_k1,lens_dist_k2,lens_dist_k3,Corner Radius
Canon,Canon EF 24-70mm f/4L IS USM,,1,ptlens,24,0.01231,-0.02141,-0.02607,,,,0.9013878189
Canon,Canon EF 24-70mm f/4L IS USM,,1,ptlens,33,0.00008,0.00847,-0.02294,,,,0.6555547774
Canon,Canon EF 24-70mm f/4L IS USM,,1,ptlens,42,0,0.00302,0,,,,0.5150787536
Canon,Canon EF 24-70mm f/4L IS USM,,1,ptlens,70,0,0.00807,0,,,,0.3090472522
Canon,Canon EF 24-70mm f/4L IS USM,,1.6,poly3,24,,,,-0.00617,,,0.5633673868
Canon,Canon EF 24-70mm f/4L IS USM,,1.6,poly3,35,,,,-0.00017,,,0.3863090652
Canon,Canon EF 24-70mm f/4L IS USM,,1.6,poly3,70,,,,0.00069,,,0.1931545326
Canon,Canon EF 24-85mm f/3.5-4.5 USM,,1,ptlens,24,0.031698,-0.089701,0.043822,,,,0.9013878189
Canon,Canon EF 24-85mm f/3.5-4.5 USM,,1,ptlens,28,0.02534,-0.06592,0.034411,,,,0.7726181305
Canon,Canon EF 24-85mm f/3.5-4.5 USM,,1,ptlens,37,0.017702,-0.04333,0.038594,,,,0.5846839906
Canon,Canon EF 24-85mm f/3.5-4.5 USM,,1,ptlens,48,0.006375,-0.006867,0.014446,,,,0.4506939094
Canon,Canon EF 24-85mm f/3.5-4.5 USM,,1,ptlens,68,0.005346,-0.003421,0.013141,,,,0.3181368772
Canon,Canon EF 24-85mm f/3.5-4.5 USM,,1,ptlens,85,0.00492,-0.000938,0.009196,,,,0.2545095018
Canon,Canon EF 24-85mm f/3.5-4.5 USM,,1.611,ptlens,24,0.005763,-0.022311,0,,,,0.5595206821
Canon,Canon EF 24-85mm f/3.5-4.5 USM,,1.611,ptlens,28,0.002537,-0.01074,0,,,,0.4795891561
Canon,Canon EF 24-85mm f/3.5-4.5 USM,,1.611,ptlens,35,0,0,0,,,,0.3836713249
Canon,Canon EF 24-85mm f/3.5-4.5 USM,,1.611,ptlens,48,0,0.004254,0,,,,0.2797603411
Canon,Canon EF 24-85mm f/3.5-4.5 USM,,1.611,ptlens,70,0,0.005312,0,,,,0.1918356624
Canon,Canon EF 24-85mm f/3.5-4.5 USM,,1.611,ptlens,85,0,0.004512,0,,,,0.1579823102
Canon,Canon EF 24mm f/1.4L II USM,,1.005,ptlens,24,0.01064,-0.02478,0.00314,,,,0.8969033024
Canon,Canon EF 24mm f/1.4L USM,,1,ptlens,24,0.013378,-0.028367,0,,,,0.9013878189
Canon,Canon EF 24mm f/2.8,,1,ptlens,24,0.017412,-0.039315,0,,,,0.9013878189
Canon,Canon EF 24mm f/2.8 IS USM,,1.613,poly3,24,,,,-0.00591,,,0.5588269181
Canon,Canon EF 28-105mm f/3.5-4.5 II USM,,1,ptlens,28,0.013305,-0.03973,0,,,,0.7726181305
Canon,Canon EF 28-105mm f/3.5-4.5 II USM,,1,ptlens,35,0.005643,-0.012771,0,,,,0.6180945044
Canon,Canon EF 28-105mm f/3.5-4.5 II USM,,1,ptlens,50,0,0.007781,0,,,,0.4326661531
Canon,Canon EF 28-105mm f/3.5-4.5 II USM,,1,ptlens,70,0,0.010884,0,,,,0.3090472522
Canon,Canon EF 28-105mm f/3.5-4.5 II USM,,1,ptlens,105,0,0.011749,0,,,,0.2060315015
Canon,Canon EF 28-135mm f/3.5-5.6 IS USM,,1,ptlens,28,0.015307,-0.042304,0,,,,0.7726181305
Canon,Canon EF 28-135mm f/3.5-5.6 IS USM,,1,ptlens,35,0.009116,-0.020624,0,,,,0.6180945044
Canon,Canon EF 28-135mm f/3.5-5.6 IS USM,,1,ptlens,41,0,0.003439,0,,,,0.5276416501
Canon,Canon EF 28-135mm f/3.5-5.6 IS USM,,1,ptlens,53,0,0.008157,0,,,,0.4081756161
Canon,Canon EF 28-135mm f/3.5-5.6 IS USM,,1,ptlens,60,0,0.008848,0,,,,0.3605551275
Canon,Canon EF 28-135mm f/3.5-5.6 IS USM,,1,ptlens,70,0,0.009719,0,,,,0.3090472522
